id	ident	type	name	latitude_deg	longitude_deg	elevation_ft	iso_country	iso_region	municipality	icao_code	iata_code	gps_code	local_code
25373	VA41	small_airport	High Hopes Airport	37.9346008300781	-75.6099014282227	9	US	US-VA	Withams			VA41	VA41
25374	VA42	small_airport	Dogwood Airpark	38.358972	-77.452744	180	US	US-VA	Fredericksburg			VA42	VA42
25378	VA46	small_airport	Timber Ridge Airpark	39.2962	-78.362198	1024	US	US-VA	Gore			VA46	VA46
25382	VA50	small_airport	Woods Farm Airstrip	37.7150993347168	-77.3024978637695	57	US	US-VA	Hanover			VA50	VA50
25384	VA52	small_airport	Frank Field	38.4851	-78.945297	1650	US	US-VA	Harrisonburg			VA52	VA52
25388	VA56	small_airport	Wells Airport	37.0035018920898	-76.8274993896484	88	US	US-VA	Ivor			VA56	VA56
25389	VA57	small_airport	Powhatan Airport	38.2485008239746	-77.2191009521484	60	US	US-VA	King George			VA57	VA57
25390	VA58	small_airport	River Bend Airport	38.9061012268066	-78.4443969726563	606	US	US-VA	Maurertown			VA58	VA58
25393	VA61	small_airport	Lovettsville Airfield	39.26532	-77.653598	529	US	US-VA	Lovettsville			VA61	VA61
25394	VA62	small_airport	The Grass Patch Airport	39.257856	-77.65407	530	US	US-VA	Lovettsville			VA62	VA62
25398	VA66	small_airport	Breeden Airport	38.6076011657715	-77.5693969726563	210	US	US-VA	Catlett			VA66	VA66
25400	VA68	small_airport	Lakeview Aerodrome	37.116908	-79.603844	1020	US	US-VA	Moneta			VA68	VA68
25404	VA72	small_airport	Covington Airport	36.6001014709473	-80.0386962890625	940	US	US-VA	Martinsville			VA72	VA72
25405	VA73	small_airport	Mazza Airport	37.244789	-77.4939	190	US	US-VA	Matoaca			VA73	VA73
25411	VA79	small_airport	Hickory Tree Farms Airport	38.9529	-77.746902	544	US	US-VA	The Plains			VA79	VA79
25413	VA81	small_airport	Cub Field	37.9454002380371	-77.8993988037109	396	US	US-VA	Mineral			VA81	VA81
25415	VA83	small_airport	Fincastle Airport	37.5223999023438	-79.8519973754883	1140	US	US-VA	Fincastle			VA83	VA83
25417	VA85	small_airport	New Castle International Airport	37.4835014343262	-80.0998001098633	1320	US	US-VA	New Castle			VA85	VA85
25419	VA87	small_airport	Valley View Airport	38.692156	-77.551664	240	US	US-VA	Nokesville			8VA9	8VA9
25424	VA92	small_airport	Peace and Plenty Farm Airport	37.7238	-75.785998	8	US	US-VA	Onancock			VA92	VA92
25425	VA93	small_airport	Ayers Airport	38.905101776123	-78.6547012329102	1340	US	US-VA	Columbia Furnace			VA93	VA93
25426	VA94	small_airport	Plainview Airport	37.535701751709	-77.8914031982422	400	US	US-VA	Powhatan			VA94	VA94
25428	VA96	small_airport	Faber Airport	37.8254013061523	-78.7316970825195	640	US	US-VA	Lovingston			VA96	VA96
25430	VA98	small_airport	Reedville Airport	37.8282012939453	-76.2733001708984	12	US	US-VA	Reedville			VA98	VA98
25431	VA99	small_airport	Federhart-Ophelia Airport	37.905998	-76.290497	13	US	US-VA	Reedville			VA99	VA99
25433	VBW	small_airport	Bridgewater Air Park	38.366699	-78.960297	1165	US	US-VA	Bridgewater			KVBW	VBW
25436	VG01	small_airport	Eureka Airport	37.060258	-78.563233	420	US	US-VA	Keysville			VG01	VG01
25440	VG05	small_airport	Payne Airport	37.8796005249023	-78.057502746582	463	US	US-VA	Tabscott			VG05	VG05
25441	VG06	small_airport	Fulcher Family Farms Airport	37.7251014709473	-79.0830993652344	980	US	US-VA	Amherst			VG06	VG06
25442	VG07	small_airport	Rular Airport	38.5388984680176	-77.8283004760742	305	US	US-VA	Remington			VG07	VG07
25444	VG09	small_airport	Starbase Airport	37.23142	-75.984535	20	US	US-VA	Cape Charles			VG09	VG09
25447	VG12	small_airport	Simpsonville Airport	38.317796	-77.867402	400	US	US-VA	Rhoadesville			VG12	VG12
25451	VG16	small_airport	Landis Airport	36.624012	-80.169342	1100	US	US-VA	Patrick Springs			VG16	VG16
25453	VG18	small_airport	Sky Bryce Airport	38.8158988952637	-78.7703018188477	1263	US	US-VA	Basye			VG18	VG18
25454	VG19	small_airport	Sawyer Airport	37.990522	-75.592872	13	US	US-VA	New Church			VG19	VG19
25455	VG20	small_airport	Onley Airport	37.6750984191895	-75.7098999023438	45	US	US-VA	Onley			VG20	VG20
25457	VG22	small_airport	Rockfish Airport	37.878819	-78.893558	760	US	US-VA	Nellysford			VG22	VG22
25459	VG24	small_airport	Mayers Airport	37.77666	-77.48727	215	US	US-VA	Ashland			VG24	VG24
25460	VG25	small_airport	Robinson Airport	37.3484992981	-79.5719985962	850	US	US-VA	Bedford			VG25	VG25
25461	VG27	small_airport	Windy Ridge Airport	37.2692985534668	-79.4358978271484	750	US	US-VA	Bedford			VG27	VG27
25462	VG28	small_airport	Mann Airport	36.549	-77.191399	35	US	US-VA	Boykins			VG28	VG28
25463	VG29	small_airport	Branham Mill Airpark	37.969847	-76.70886	100	US	US-VA	Warsaw			VG29	VG29
25464	VG30	small_airport	Scott Farm Strip	37.2271003723145	-75.9768981933594	33	US	US-VA	Cape Charles			VG30	VG30
25466	VG32	small_airport	Eastview Airport	37.6142997741699	-78.6035995483398	500	US	US-VA	Buckingham			VG32	VG32
25467	VG33	small_airport	Bull Farm Airport	37.154598236084	-75.956901550293	18	US	US-VA	Cape Charles			VG33	VG33
25468	VG34	small_airport	Merifield Airport	36.584599	-78.500801	355	US	US-VA	Clarksville			VG34	VG34
25470	VG36	small_airport	Keysville Airport	37.038200378418	-78.4627990722656	627	US	US-VA	Keysville			VG36	VG36
25471	VG37	small_airport	Umphlett Airstrip	36.589206	-76.638458	75	US	US-VA	Whaleyville			VG37	VG37
25473	VG39	small_airport	Earth Airport	37.221529	-76.008568	9	US	US-VA	Cape Charles			VG39	VG39
25474	VG40	small_airport	Woody Field Airport	36.886759	-79.863911	1150	US	US-VA	Rocky Mount			VG40	VG40
25476	VG42	small_airport	Henshaw Airport	37.26469	-77.16544	85	US	US-VA	Hopewell			VG42	VG42
25477	VG43	small_airport	Arrowpoint Airport	38.307079	-78.098953	315	US	US-VA	Madison			VG43	VG43
25486	VG52	small_airport	Woodridge Field	37.8391990661621	-78.8217010498047	663	US	US-VA	Lovingston			VG52	VG52
25487	VG53	small_airport	Venning's Landing Airport	37.0435981750488	-79.801399230957	1100	US	US-VA	Rocky Mount			VG53	VG53
430466	VG54	small_airport	Bear River Field	38.319067	-78.763754	1050	US	US-VA	McGaheysville			VG54	VG54
25488	VG55	small_airport	Woodstock Airport	38.881078	-78.55815	965	US	US-VA	Woodstock			VG55	VG55
25489	VG56	small_airport	Midway Airport	37.80958	-75.615034	50	US	US-VA	Bloxom			VG56	VG56
25490	VG57	small_airport	Maples Field	38.605701	-77.584702	225	US	US-VA	Catlett			VG57	VG57
45872	VG58	small_airport	Abbott Airport	36.945202	-79.791942	981	US	US-VA	Rocky Mount			VG58	VG58
45884	VG64	small_airport	Lee Field	37.561036	-76.851135	20	US	US-VA	West Point			VG64	VG64
531720	VG67	small_airport	Stuart Red House Field	37.204247	-78.834036	713	US	US-VA	Appomattox			VG67	VG67
25497	VKX	small_airport	Potomac Airfield	38.74760056	-76.9571991	118	US	US-MD	Friendly			KVKX	VKX
25498	VT01	small_airport	Teal Farm Airport	44.282386	-72.937557	1440	US	US-VT	Huntington			VT01	VT01
25500	VT03	small_airport	Maule's Roost Airport	44.0886993408203	-72.9809036254883	1100	US	US-VT	Lincoln			VT03	VT03
25502	VT06	small_airport	Santa's Airport	43.0043983459473	-72.4737014770508	673	US	US-VT	Putney			VT06	VT06
25505	VT09	small_airport	Spencer Airport	44.1136016845703	-73.2902984619141	310	US	US-VT	Addison			VT09	VT09
25506	VT10	small_airport	Manning Personal Airstrip	43.9813995361328	-73.3856964111328	255	US	US-VT	Bridport			VT10	VT10
25507	VT11	small_airport	Ass-Pirin Acres Airport	44.0686988830566	-73.3733978271484	130	US	US-VT	Addison			VT11	VT11
25508	VT12	small_airport	E.A.Deeds Farm Airport	44.2911987304688	-73.283203125	127	US	US-VT	Charlotte			VT12	VT12
